Name,Category,Film,Win_Oscar?,Year_Ceremony,Birth_Date,Birth_Place,Gender,Race or Ethnicity,Sexual orientation,Religion,Link
Deborah Kerr,ACTRESS,Separate Tables,FALSE,1959,1921-09-30,"Helensburgh, Scotland",Female,White,Straight,Na,http://www.nndb.com/people/715/000025640/
Shirley MacLaine,ACTRESS,Some Came Running,FALSE,1959,1934-04-24,"Richmond, VA",Female,White,Straight,Baptist,/people/799/000023730/
Rosalind Russell,ACTRESS,Auntie Mame,FALSE,1959,1907-06-04,"Waterbury, CT",Female,White,Straight,Roman Catholic,http://www.nndb.com/people/324/000089057/
Elizabeth Taylor,ACTRESS,Cat on a Hot Tin Roof,FALSE,1959,1932-02-27,"London, England",Female,White,Straight,Jewish,/people/624/000023555/
Peggy Cass,ACTRESS IN A SUPPORTING ROLE,Auntie Mame,FALSE,1959,1924-05-21,"Boston, MA",Female,White,Straight,Na,http://www.nndb.com/people/523/000110193/
Wendy Hiller,ACTRESS IN A SUPPORTING ROLE,Separate Tables,TRUE,1959,1912-08-15,"Bramhall, Cheshire, England",Female,White,Straight,Na,/people/056/000063864/
Martha Hyer,ACTRESS IN A SUPPORTING ROLE,Some Came Running,FALSE,1959,1924-08-10,"Fort Worth, TX",Female,White,Straight,Na,http://www.nndb.com/people/263/000130870/
Maureen Stapleton,ACTRESS IN A SUPPORTING ROLE,Lonelyhearts,FALSE,1959,1925-06-21,"Troy, NY",Female,White,Straight,Roman Catholic,/people/376/000032280/
Cara Williams,ACTRESS IN A SUPPORTING ROLE,The Defiant Ones,FALSE,1959,1925-06-29,"Brooklyn, NY",Female,White,Straight,Na,http://www.nndb.com/people/441/000222772/
Richard Brooks,DIRECTING,Cat on a Hot Tin Roof,FALSE,1959,1912-05-18,"Philadelphia, PA",Male,White,Straight,Jewish,http://www.nndb.com/people/534/000032438/
Stanley Kramer,DIRECTING,The Defiant Ones,FALSE,1959,1913-09-29,"Brooklyn, NY",Male,White,Straight,Jewish,http://www.nndb.com/people/120/000056949/
Vincente Minnelli,DIRECTING,Gigi,TRUE,1959,1903-02-28,"Chicago, IL",Male,White,Bisexual,Na,/people/825/000032729/
Robert Wise,DIRECTING,I Want to Live!,FALSE,1959,1914-09-10,"Winchester, IN",Male,White,Straight,Na,/people/460/000032364/
